Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
EDNA ELENA VEGA RANGEL," Con su permiso, presidenta. Muy buenos días a todas y a todos.",0.0,12,14,10,2024
EDNA ELENA VEGA RANGEL,"Con el gran gusto de presentar uno de los programas prioritarios del Gobierno de México, encabezado por la doctora Claudia Sheinbaum. Este programa, ya tenemos en el proceso de elaboración un buen rato con los lineamientos que nos ha dado la presidenta. ¿En qué consiste?",0.0,45,14,10,2024
EDNA ELENA VEGA RANGEL,"Partimos primero de un diagnóstico que se ha realizado ya desde hace varios años por parte de la propia Comisión Nacional de Vivienda. Si recuerdan, en alguna de las sesiones anteriores hablábamos de que durante el periodo pasado con el licenciado Andrés Manuel López Obrador se logró abatir el rezago habitacional en 1.5 millones. Actualmente, con este gran avance, la situación actual es esta, 8.9 millones de vivienda en situación de rezago habitacional, que se refiere básicamente a las condiciones de los materiales, de los servicios con los que cuenta la vivienda, y así se cataloga.",0.0,96,14,10,2024
EDNA ELENA VEGA RANGEL,¿Cuáles son los municipios donde hay mayor rezago habitacional?,0.0,9,14,10,2024
EDNA ELENA VEGA RANGEL,"Los pueden ver de este lado derecho: Tijuana, Mexicali, Juárez, Ensenada, Acapulco, Centro de Tabasco, Tapachula, Iztapalapa, Cárdenas y Huimanguillo, también en Tabasco. Tiene que ver también con condiciones de riesgo.",0.0,31,14,10,2024
EDNA ELENA VEGA RANGEL,"Y, por otro lado, tenemos lo que se denomina ‘las necesidades de vivienda por crecimiento de la población’, y se refiere a que, para el 2025, 2.8 millones de viviendas se requieren por este crecimiento poblacional, y para 2030 será 6.6 millones de viviendas nuevas.",0.0,45,14,10,2024
EDNA ELENA VEGA RANGEL,"Entonces, sobre esta base, les pido observar plano, ¿dónde están entonces estas necesidades?, pues justamente en la zona sur sureste y hacia el norte es donde se encuentran las mayores necesidades y condiciones de rezago.",0.0,35,14,10,2024
EDNA ELENA VEGA RANGEL,"Entonces, es la propuesta que corresponde justamente a la atención que vimos en el plano anterior, y es un millón de viviendas nuevas; esto hace la diferencia respecto al periodo anterior, que una buena parte se dirigió a otro tipo de intervenciones en la vivienda.",0.0,45,14,10,2024
EDNA ELENA VEGA RANGEL,"Y en este millón de viviendas, atender prioritariamente a mujeres, jefas de familia, jóvenes, población indígena y adultos mayores, y de manera muy particular, por instrucciones de la Presidencia, generar un programa de vivienda en renta para jóvenes de manera prioritaria, pero también en la población en general en las condiciones en que se requieren. Además del millón de viviendas nuevas, tenemos 450 mil mejoramientos y ampliaciones de vivienda.",0.0,69,14,10,2024
EDNA ELENA VEGA RANGEL,"Con todo esto, y a través de lo que vamos a explicar más adelante, se calcula una inversión superior a los 600 mil millones de pesos; adicionalmente, un programa de escrituración de vivienda, como lo acaba de mencionar la presidenta, con un millón de escrituras.",0.0,45,14,10,2024
