Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
SECRETARIO DE ECONOMIA," Con su permiso, señora Presidenta, compañeras, compañeros, señor fiscal general.",0.0,10,11,2,2025
SECRETARIO DE ECONOMIA,Buenos días a todas y a todos ustedes.,0.0,8,11,2,2025
SECRETARIO DE ECONOMIA,"Bueno, el día de ayer, como probablemente ya lo saben, se publicó por parte del gobierno de los Estados Unidos la orden presidencial, la proclama que establece la imposición de una tarifa del 25 por ciento al acero y al aluminio que México exporta a los Estados Unidos.",0.0,48,11,2,2025
SECRETARIO DE ECONOMIA,"Bien, les explico: Dice la proclamación que se va a aplicar esta tarifa a todos los países, es lo primero que tenemos que ver, es una aplicación general, no es una aplicación solo a México.",0.0,35,11,2,2025
SECRETARIO DE ECONOMIA,"En esto difiere de alguna ocasión anterior, allá por el año 2018, donde también se impuso tarifa al acero y al aluminio mexicano, pero fue una medida a México; esta es una medida general. Inclusive se mencionan todos los considerandos, los acuerdos con cada país previos que dejarían de tener efecto a partir del 12 de marzo, es decir, casi en un mes.",0.0,63,11,2,2025
SECRETARIO DE ECONOMIA,"Bien, ¿esta gráfica qué explica?",0.0,5,11,2,2025
SECRETARIO DE ECONOMIA,"Si ustedes toman 2015, 2017, aquí dice “promedio base 2015-2017”, aquí lo que se mide son millones de toneladas y lo que se presenta año por año, y en este caso el punto de partida que es el promedio 2015-2017, después año por año, es cómo evolucionan las exportaciones mexicanas hacia a Estados Unidos y cómo evolucionan las exportaciones de Estados Unidos hacia a México, porque nosotros somos un país que importa más acero de Estados Unidos del que exporta.",0.0,80,11,2,2025
SECRETARIO DE ECONOMIA,"Aquí lo ven ustedes: en color naranja es lo que importamos desde Estados Unidos, empezamos aquí en el promedio 2015-2017.",0.0,20,11,2,2025
SECRETARIO DE ECONOMIA,Esto es importante que se los refiera yo por una razón: porque en los considerandos de lo que se publica se dice que la razón para imponerle a México esta tarifa es porque creció la exportación de México a Estados Unidos mil 678 por ciento.,0.0,45,11,2,2025
SECRETARIO DE ECONOMIA,"Bueno, entonces, vean ustedes aquí: millones de toneladas. Empezamos aquí. Luego, bajaron nuestras importaciones provenientes de Estados Unidos, año 2020, aquí estamos en la pandemia. Y después, crecen las exportaciones mexicanas provenientes de Estados Unidos, miren dónde estamos ahorita.",0.0,39,11,2,2025
SECRETARIO DE ECONOMIA,"Por contraste, estas son las exportaciones de México hacia Estados Unidos. Aquí empezamos, tienen una ligera caída; después se recuperan, más o menos en paralelo a esto; y después se reducen.",0.0,31,11,2,2025
SECRETARIO DE ECONOMIA,"Entonces, ¿dónde estamos en las exportaciones de México a Estados Unidos 2024, que es el último dato respecto al promedio 2015-2017? Pues casi en el mismo lugar, no hay tal “mil 600 por ciento”. Estas son las cifras disponibles.",0.0,39,11,2,2025
SECRETARIO DE ECONOMIA,"Entonces, resumo: Estados Unidos, nosotros importamos más de Estados Unidos —aquí está—, importamos más de Estados Unidos que lo que exportamos.",0.0,21,11,2,2025
SECRETARIO DE ECONOMIA,Importante tener esta gráfica a la vista.,0.0,7,11,2,2025
SECRETARIO DE ECONOMIA,Repito: nosotros importamos más de Estados Unidos de lo que exportamos.,0.0,11,11,2,2025
SECRETARIO DE ECONOMIA,"Ahora, vamos a compararnos con varios países. De aquí para arriba, estoy hablando de Estados Unidos, la balanza comercial de Estados Unidos, o sea, cómo le va a Estados Unidos si gana o si pierde con cada país en materia de acero y aluminio.",0.0,44,11,2,2025
SECRETARIO DE ECONOMIA,"Con México, ¿cómo le va a Estados Unidos?",0.0,8,11,2,2025
SECRETARIO DE ECONOMIA,"Pues nos vende más, nos vende casi 6 mil 897 millones de dólares más de lo que nosotros exportamos; por lo tanto, su balanza es favorable, imagínense. Esta va en color verde, como si hicieran ustedes un balance; está en verde porque los números están a tu favor, están en favor de Estados Unidos. Nosotros importamos más de lo que exportamos.",0.0,61,11,2,2025
SECRETARIO DE ECONOMIA,"Australia: Australia está en rojo porque Estados Unidos tiene un déficit de 315 millones de dólares, quiere decir que Australia le vende más de lo que Australia importa; en el caso nuestro nos venden más ellos. Aquí Australia le vende 315 millones de dólares más a Estados Unidos de lo que importa.",0.0,52,11,2,2025
SECRETARIO DE ECONOMIA,"Vean, Canadá: 9 mil 675 millones de dólares, es muy diferente su circunstancia. En el caso de Canadá, pues Canadá le vende mucho más acero a Estados Unidos del que importa de Estados Unidos.",0.0,34,11,2,2025
SECRETARIO DE ECONOMIA,"China: Estados Unidos importa directamente de China casi 14 mil millones de dólares, ese es su déficit; es decir, importa de China casi 14 mil millones de dólares más de lo que les compra China a ellos.",0.0,37,11,2,2025
SECRETARIO DE ECONOMIA,Pero nosotros tenemos superávit.,0.0,4,11,2,2025
SECRETARIO DE ECONOMIA,"Sería un caso —si se llegará a imponer a partir del 12 de marzo— muy inusual, porque se estaría imponiendo una tarifa a un país al que tú —Estados Unidos— le vendes más.",0.0,33,11,2,2025
SECRETARIO DE ECONOMIA,"Bueno, creo que con esto nos… La fuente es son, estoy usando las cifras de Estados Unidos.",0.0,17,11,2,2025
SECRETARIO DE ECONOMIA,"Bien, entonces, en resumen: México importa más acero de Estados Unidos, que lo que exporta; no hay tal mil 600 por ciento de incremento.",0.0,24,11,2,2025
SECRETARIO DE ECONOMIA,"―Si nos regresamos a la anterior, por favor―.",0.0,8,11,2,2025
SECRETARIO DE ECONOMIA,"Ahí está, estas son las cifras. Si la base de comparación es esta, pues estamos igual.",0.0,16,11,2,2025
SECRETARIO DE ECONOMIA,"¿Quién creció? Pues Estados Unidos, nos vende más.",0.0,8,11,2,2025
SECRETARIO DE ECONOMIA,"Entonces, no se justifica esa tarifa, estoy hablando de aluminio y acero.",0.0,12,11,2,2025
SECRETARIO DE ECONOMIA,"Bien, quiero ponerles un video, si me lo autoriza la señora Presidenta, para explicar por qué no nos gustan las tarifas: primero, es injusto de acuerdo a los propios considerandos del presidente Trump, porque nosotros tenemos, repito, más importación de Estados Unidos que exportación.",0.0,44,11,2,2025
SECRETARIO DE ECONOMIA,"Bien, ahora, ¿por qué además no nos gustan?",0.0,8,11,2,2025
SECRETARIO DE ECONOMIA,"Voy a poner un video para explicarles por qué es una mala idea poner este tipo de tarifas en América del Norte entre México, Estados Unidos y Canadá.",0.0,28,11,2,2025
SECRETARIO DE ECONOMIA,—Por favor—.,0.0,2,11,2,2025
SECRETARIO DE ECONOMIA,(PROYECCIÓN DE VIDEO),0.0,3,11,2,2025
PREGUNTA," América del Norte es una de las regiones más integradas, como lo demuestra la relación entre la industria del aluminio y acero y la automotriz de México y Estados Unidos. Entre el 80 y el 90 por ciento del comercio automotriz de Estados Unidos es con México y Canadá.",0.0,49,11,2,2025
PREGUNTA,"Para entender mejor esta integración, sigamos el viaje de un pequeño pero esencial componente: un pistón, cuya materia prima es el aluminio. Su función es cambiar el volumen y la presión del fluido para generar movimiento en el motor.",0.0,39,11,2,2025
PREGUNTA,"Todo comienza en Michigan, donde el aluminio es extraído y transportado a Ontario, Canadá, para el proceso de fundición. En Ontario, el material es preparado para el proceso de maquinado, donde se le da forma, antes de regresar a Michigan para continuar con su transformación.",0.0,45,11,2,2025
PREGUNTA,"El pistón cruza la frontera hacia México, donde se le realizan los últimos acabados antes de su ensamble en el motor. El vehículo que contiene el pistón cruza de regreso a Estados Unidos, donde será vendido al consumidor final. Antes de que el pistón entre en acción, viaja de México a Wisconsin para ser ensamblado, antes de ser enviado a la planta de motores en Michigan.",0.0,66,11,2,2025
PREGUNTA,"Este es solo un ejemplo de cómo la industria automotriz en América del Norte está altamente integrada en la producción compartida entre Estados Unidos, México y Canadá. Permite fabricar autos de alta calidad con costos competitivos y cadenas de suministro eficientes.",0.0,41,11,2,2025
PREGUNTA,(FINALIZA VIDEO),0.0,2,11,2,2025
SECRETARIO DE ECONOMIA," Bueno, lo que quiere decir ese resumen: ese pistón cruzó ocho veces las fronteras. Imagínense: todo mundo le va a poner ocho veces una tarifa, pues, ¿en cuánto va a salir el vehículo al final? No tiene sentido.",0.0,38,11,2,2025
