Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PROCURADOR FEDERAL DEL CONSUMIDOR, Muy buenos días a todas y a todos.,0.0,8,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR,"Con su permiso, Presidenta.",0.0,4,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR,"Comenzamos con la sección “Quién es quién en los precios”. Vamos a volver a presentarles la gráfica que presentamos el viernes, con algunos comentarios.",0.0,24,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR,"Aquí mostramos de nuevo cómo durante el sexenio de Felipe Calderón la gasolina en términos reales, en precio real, incrementó 22.9 por ciento.",0.0,23,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR,"Durante el sexenio de Enrique Peña Nieto se incrementó 42.8 por ciento, con todo y la promesa que “después de que se publicara la Reforma Energética, iba a disminuir”.",0.0,29,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR,—Aquí están estas líneas—.,0.0,4,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR,"Cuando se presenta la Reforma Energética, en agosto del 2013, la gasolina en términos reales costaba 19 pesos con 54 centavos. Y durante este tiempo, agosto, octubre, hasta diciembre, que se publica, comenzó la escalada hacia arriba de la gasolina hasta llegar a 26 pesos con 1 centavo, repito, en términos reales.",0.0,52,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR,En el sexenio del Presidente Andrés Manuel López Obrador disminuyó en 5.2 por ciento.,0.0,14,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR,"Y lo que llevamos de la Presidencia de la Doctora Sheinbaum, disminuyó en 0.4 por ciento.",0.0,16,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR,"Entonces, la volvemos a presentar para que todas y todos los mexicanos conozcan los precios en términos reales de la gasolina.",0.0,21,6,1,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO, Que en el 2018 la gasolina estaba a 26 pesos.,0.0,10,6,1,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Lo que se hace es suponer que o hacer una gráfica en términos reales como si fueran los pesos del 2025, o sea, el poder de compra, se descuenta la inflación.",0.0,31,6,1,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,"Entonces, lo que equivaldría —si midiéramos a pesos del 2025— a cómo hubiera estado la gasolina en el 2018, son 26 pesos, relacionado con el poder de compra, con la inflación. Son métodos que se utilizan en economía, que se utilizan, son precios constantes o precios variables que toman en cuenta la inflación o no toman en cuenta la inflación.",0.0,60,6,1,2025
PRESIDENTA CLAUDIA SHEINBAUM PARDO,—Adelante—.,0.0,1,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR," Gracias, Presidenta.",0.0,2,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR,"Sí, y se analiza si en realidad el impacto es por el precio real o por la inflación, y aquí lo estamos demostrando.",0.0,23,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR,"Bien, mencionamos que ahora, vamos a estar destacando los indicadores de ganancia de las gasolineras que venden más barato y más caro.",0.0,22,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR,Estas son las gasolineras por cada una de las regiones que venden más barata la gasolina regular:,0.0,17,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR,"Tenemos, bueno destacamos, la estación Bristoil en Guadalajara, Jalisco, que vende la gasolina en 22 pesos con 19 centavos, y tiene un indicador de ganancia de 59 centavos por cada litro que vende. Igual, aquí, por ejemplo, tenemos esta estación de Pemex en avenida Astros en Monterrey, Nuevo León, que su indicador de ganancia está en 68 centavos. Y aquí en el sur está FullGas en Tuxtla Gutiérrez, 60 centavos.",0.0,70,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR,Estas gasolinas están entre 22 pesos con 19 centavos y 23 con 99. A todas ellas les vamos a dar una palomita.,0.0,22,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR,"Y aquí, la que sigue son las gasolinas más caras, son algunas gasolineras, no quiere decir que esto sea el precio en todo el país, estas son las más altas y las que presentan el indicador de ganancia más alto:",0.0,40,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR,"Destaca, está Chevron de Culiacán, Sinaloa, con 26 pesos con 80 centavos. Pero, por ejemplo, esta Mobil y esta Mi Gasolina, una en Monterrey, Nuevo León, y otra en Durango, ganan 4 pesos con 12 centavos por cada litro, y en el segundo caso 2 pesos con 73 centavos.",0.0,49,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR,Y aquí está la información de cada una de las regiones cuánto cuesta las gasolinas más caras. Les vamos a dar un tache.,0.0,23,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR,"En el caso de la gasolina premium, la más barata:",0.0,10,6,1,2025
PROCURADOR FEDERAL DEL CONSUMIDOR,"Hidrosina en Coatzacoalcos, Veracruz, 23 pesos con 9 centavos. Y aquí está también el indicador de ganancia de cada una; destacamos, ganan entre 58 centavos, 1.32, 1.17, 90 centavos por cada litro de la gasolina premium. Ah, perdón, palomita.",0.0,39,6,1,2025
