Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ASESOR POLITICO DE LA COORDINACION DE COMUNICACION SOCIAL DE PRESIDENCIA LA REPUBLICA," Muy buenos días. Con su permiso, señora Presidenta.",0.0,8,8,1,2025
ASESOR POLITICO DE LA COORDINACION DE COMUNICACION SOCIAL DE PRESIDENCIA LA REPUBLICA,"Vamos a ver ahora un poco de historia de nuestro territorio, porque es bien interesante ver lo que ocurría.",0.0,19,8,1,2025
ASESOR POLITICO DE LA COORDINACION DE COMUNICACION SOCIAL DE PRESIDENCIA LA REPUBLICA,"Fíjense, este es un… —Si me permiten un micrófono—.",0.0,9,8,1,2025
ASESOR POLITICO DE LA COORDINACION DE COMUNICACION SOCIAL DE PRESIDENCIA LA REPUBLICA,"Nos encontramos este mapamundi de 1607, que editó un flamenco para la Compañía de Indias de Ámsterdam. En este mapamundi aparece ya, por vez primera, lo que es la “América Mexicana” —así lo denomina este cartógrafo— con lo que es México, y lo que es ya Sudamérica. Es el primer mapamundi casi completo de lo que en el siglo XVI se descubrió.",0.0,62,8,1,2025
ASESOR POLITICO DE LA COORDINACION DE COMUNICACION SOCIAL DE PRESIDENCIA LA REPUBLICA,—Este es un acercamiento—.,0.0,4,8,1,2025
ASESOR POLITICO DE LA COORDINACION DE COMUNICACION SOCIAL DE PRESIDENCIA LA REPUBLICA,"Entonces, yo les quiero decir, aquí dice: “América, que fue descubierta en 1492 por Cristóbal Colón a nombre del Rey Carlos I de España”.",0.0,24,8,1,2025
ASESOR POLITICO DE LA COORDINACION DE COMUNICACION SOCIAL DE PRESIDENCIA LA REPUBLICA,"¿Y por qué se llama América Mexicana? Pues, obviamente, porque México era un territorio muy rico en culturas y muy rico en muchas situaciones particulares de riquezas minerales, etcétera.",0.0,29,8,1,2025
ASESOR POLITICO DE LA COORDINACION DE COMUNICACION SOCIAL DE PRESIDENCIA LA REPUBLICA,"El hecho es de que, América Mexicana es reconocido desde el siglo XVII, principios del siglo XVII como el nombre de toda la parte norte del propio continente.",0.0,28,8,1,2025
ASESOR POLITICO DE LA COORDINACION DE COMUNICACION SOCIAL DE PRESIDENCIA LA REPUBLICA,"Y señalo aquí que, entre la Florida y Yucatán, se reconoce al Golfo Mexicano como un punto náutico fundamental para la navegación del siglo XVII en adelante.",0.0,27,8,1,2025
ASESOR POLITICO DE LA COORDINACION DE COMUNICACION SOCIAL DE PRESIDENCIA LA REPUBLICA,"Tan es así que nuestro prócer, el padre del Estado mexicano —como yo le denomino—, don José María Morelos y Pavón hace, en la Constitución de 1814 en Apatzingán, el Decreto Constitucional para la Libertad de la América Mexicana. Es decir, en 1607, sí se conocía como América Mexicana.",0.0,49,8,1,2025
